U15,U15,U15,U15,U15,U15,U15,U15,U25,U25,U25,U25,U25,U25,U25,U14,U14,U14,U14,U14,U14,U14,U14,U14,U20,U20,U20,U20,U20,U20,U20,U20
U28,U28,U28,U17,U17,U17,U17,U17,U20,U20,U20,U28,U28,U28,U28,U38,U38,U38,U38,U38,U38,U23,U23,U23,U17,U17,U17,U17,U17,U38,U38,U38
U23,U23,U23,U23,U23,U23,U29,U29,U23,U23,U23,U17,U17,U17,U17,U29,U29,U29,U29,U29,U21,U31,U31,U31,U30,U22,U22,U22,U22,U23,U23,U23
U31,U31,U31,U37,U21,U21,U10,U10,U8,U37,U37,U21,U30,U30,U30,U10,U24,U24,U24,U24,U16,U21,U21,U21,U35,U30,U30,U30,U30,U8,U8,U8
U22,U22,U16,U11,U35,U35,U32,U32,U10,U11,U11,U35,U16,U16,U16,U37,U37,U37,U37,U34,U40,U30,U30,U16,U18,U16,U16,U16,U16,U35,U35,U35
U8,U8,U33,U34,U40,U33,U5,U19,U24,U34,U34,U39,U32,U32,U32,U11,U34,U34,U32,U39,U13,U35,U35,U32,U3,U32,U32,U32,U32,U18,U40,U40
U35,U35,U36,U36,U13,U39,U4,-,U33,U33,U36,U9,U9,U26,U26,U18,U39,U27,U7,U20,U7,U33,U33,U20,U12,U15,U15,U25,U25,U3,U27,U13
U18,U18,U39,U2,U14,U26,U36,-,U36,U39,U2,U20,U20,U12,U12,U27,U19,U5,U2,-,U2,U36,U36,-,U7,U4,U4,U2,U2,U12,U19,U3
U9,U9,U2,U1,-,U20,-,-,U39,U14,U29,-,-,U2,U2,U2,U2,U2,U8,-,U4,U39,U39,-,-,U6,-,U1,U1,U14,-,U12
U2,U4,U1,U4,-,-,-,-,U17,U2,U1,-,-,U4,U4,U8,-,-,-,-,-,U17,U17,-,-,-,-,-,-,-,-,U2
-,-,U4,U16,-,-,-,-,-,U38,U4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,U5,U35,-,-,-,-,-,U1,U6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,U14,U29,-,-,-,-,-,U8,U5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,U8,U8,-,-,-,-,-,U4,U8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,U10,U10,-,-,-,-,-,U21,U10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,U6,-,-,-,-,-,-,U35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
20.512167,9.287600,13.122667,11.717673,12.150000,20.774600,12.790233,10.783967,15.270000,14.196571,23.373350,8.211200,19.885833,12.268769,18.375120,10.449345,8.426259,15.424500,17.896300,9.609438,15.321838,21.380800,9.277200,20.048640,17.977422,17.001600,18.001600,22.008000,15.224533,11.766560,21.575000,7.098182,12.958400,14.980800,8.847692,10.777371,12.992000,13.722880,7.628889,18.924400,0.829116
0.829116
6
