U44,U44,U44,U44,U26,U26,U26,U26,U59,U59,U59,U59,U78,U78,U78,U78,U71,U71,U71,U43,U43,U43,U54,U54,U54,U50,U50,U50,U55,U55,U55,U18,U18,U18,U19,U19,U19,U16,U16,U16,U70,U70,U70,U75,U75,U75,U9,U9,U9,U68,U68,U68,U20,U20,U20,U30,U30,U30,U21,U21,U21,U76,U76,U76,U3,U3,U34,U34,U34,U67,U67,U57,U57,U57,U57,U29,U29,U29,U29,U1,U1,U1,U1,U1,U14,U14,U14,U14,U14,U14,U14,U14,U14,U14,U31,U31,U12,U12,U12,U12
U40,U37,U73,U56,U55,U55,U20,U8,U80,U80,U80,U80,U65,U65,U4,U4,U79,U80,U80,U29,U14,U14,U6,U45,U45,U77,U28,U28,U8,U1,U6,U17,U66,U60,U45,U15,U15,-,-,-,U36,U36,U53,U18,U9,U30,U79,U79,U79,U12,U63,U63,U39,U7,U62,U23,U48,U2,-,-,-,U74,U27,U27,U47,U47,U52,U24,U72,U61,U61,U63,U6,U6,U6,U3,U34,U67,U1,U49,U13,U13,U13,U33,U46,U46,U46,U46,U46,U58,U58,U58,U36,U36,U47,U47,-,-,-,-
U42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U69,U8,U8,-,U10,U22,-,-,-,U44,U59,U38,U8,U79,U79,-,-,-,-,-,U5,-,-,-,-,-,-,-,U20,-,-,U26,U26,-,-,-,-,-,-,U47,U35,U64,-,-,-,-,-,U71,U50,-,U41,U41,U74,-,-,-,-,U51,-,-,-,U14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U32,U25,-,-,-,-,-,-,-,-,U78,U11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U75,U76,U46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U26,U78,-,-,-,-,-,-,-,-,-,U78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U26,-,-,-,-,-,-,-,-,-,U14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
