U1,U1,U2,U1,U1,U1,U1,U2,U1,U1,U2,U1,U2,U2,U1,U2,U1,U1,U75,U32,U1,U1,U1,U60,U52
U64,U59,U1,U20,U9,U54,U47,U1,U13,U7,U1,U71,U1,U1,U34,U1,U45,U19,U69,U25,U72,U29,U66,U79,U21
U31,U74,U17,U77,U41,U35,U22,U50,U61,U80,U26,U76,U70,U28,U37,U56,U14,U57,U1,U24,U3,U53,U8,U27,U38
U73,U18,U12,U15,U48,U30,U6,U10,U42,U49,U44,U40,U62,U58,U23,U51,U78,U65,U72,U43,U55,U63,U46,U11,U33
U2,U2,-,U36,U2,U2,U5,-,U2,U16,-,U2,-,-,U2,-,U2,U2,U2,U2,U2,U2,U2,U39,U67
-,-,-,U2,-,-,U2,-,-,U2,-,-,-,-,-,-,-,-,-,U1,-,-,-,U68,U1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U1,U4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U2,U2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000
4.385120,4.385120,15.108000,19.511800,10.256200,15.120000,19.615200,14.628000,19.195200,16.614400,16.982400,14.297500,16.064400,17.961600,13.070000,14.506000,14.149800,18.119200,20.065000,15.200000,14.812200,9.747000,10.612800,18.451200,15.298300,12.212800,16.910000,12.456000,19.824000,13.952000,17.916000,20.532000,16.959600,10.978200,13.626000,12.020800,17.773800,19.846200,18.300000,16.399000,14.868000,16.350600,17.247700,18.928000,14.214400,10.288400,12.256000,12.093800,19.532500,15.456000,13.680000,19.605200,18.564000,20.275000,12.885600,15.552000,14.850000,8.590400,12.630400,14.400000,14.318400,15.010800,20.170000,17.894000,17.625600,15.713600,20.165600,15.455000,16.081600,19.084000,15.824000,15.242400,20.342500,16.060000,12.378500,13.287600,17.824800,12.437200,20.594600,14.832000,0.749898
0.749898
3
